price,location,distance,amenities,ratings,type
13500,Hyderabad,,Free WiFi Free parking ,8.7,Three-Bedroom Apartment
6500,"Begumpet, Hyderabad",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Very good breakfast,8.4,Superior Double Room
1519,"Gachibowli, Hyderabad",,Room service Free WiFi 24-hour front desk ,7.829464285714287,Classic Triple Room
2153,Hyderabad,,Room service Free WiFi Facilities for disabled guests Superb breakfast,7.6,Deluxe Room
9500,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,8.6,Deluxe King Room
2228,Hyderabad,,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.0,Standard Double Room
1700,Hyderabad,,Airport shuttle Room service Free WiFi Free parking Non-smoking rooms Family rooms ,8.5,Deluxe Queen Room
6000,Hyderabad,,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Superb breakfast,8.3,Deluxe Twin Room
6299,Hyderabad,,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,8.0,Twin Room with Sofa Bed
5800,Hyderabad,,Indoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Very good breakfast,8.6,Studio Superior 
1290,"Gachibowli, Hyderabad",,Free WiFi Non-smoking rooms ,7.829464285714287,Deluxe Double Room
1705,Hyderabad,,Room service Free WiFi Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.1,Deluxe Room
1686,"HITEC City, Hyderabad",,Free WiFi Free parking Non-smoking rooms 24-hour front desk Exceptional breakfast,7.0,Standard Double Room
5841,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Fabulous breakfast,8.2,Superior Double Room
4750,Hyderabad,,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,7.7,"Superior Superior Room with two single  beds,City View "
9800,"HITEC City, Hyderabad",,2 swimming pools Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.4,Studio Apartment - 463 sqft
9000,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Good breakfast,8.0,King Room
7250,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Very good breakfast,7.9,Superior Double or Twin Room
8500,Hyderabad,,2 swimming pools Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.2,Deluxe Room City View Twin Bed
668,Hyderabad,,Free WiFi ,7.829464285714287,Classic Triple Room
12500,"HITEC City, Hyderabad",,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Facilities for disabled guests Bar Good breakfast,8.1,Executive Club
6500,Hyderabad,,Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Tea/coffee maker in all rooms Bar Good breakfast,7.7,Deluxe Double or Twin Room
5800,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.5,Superior King Room
2960,Hyderabad,,Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk ,9.1,Deluxe Room
1536,Hyderabad,,Room service 24-hour front desk ,3.6,Deluxe Triple Room
8500,Hyderabad,,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,7.7,King Room
2325,"HITEC City, Hyderabad",,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.2,Deluxe Double Room
13500,Hyderabad,,Free WiFi Free parking ,8.7,Three-Bedroom Apartment
2153,Hyderabad,,Room service Free WiFi Facilities for disabled guests Superb breakfast,7.6,Deluxe Room
9500,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,8.6,Deluxe King Room
2228,Hyderabad,,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.0,Standard Double Room
1700,Hyderabad,,Airport shuttle Room service Free WiFi Free parking Non-smoking rooms Family rooms ,8.5,Deluxe Queen Room
6000,Hyderabad,,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Superb breakfast,8.3,Deluxe Twin Room
6299,Hyderabad,,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,8.0,Twin Room with Sofa Bed
5800,Hyderabad,,Indoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Very good breakfast,8.6,Studio Superior 
1290,"Gachibowli, Hyderabad",,Free WiFi Non-smoking rooms ,7.829464285714287,Deluxe Double Room
1705,Hyderabad,,Room service Free WiFi Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.1,Deluxe Room
1686,"HITEC City, Hyderabad",,Free WiFi Free parking Non-smoking rooms 24-hour front desk Exceptional breakfast,7.0,Standard Double Room
5841,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Fabulous breakfast,8.2,Superior Double Room
4750,Hyderabad,,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,7.7,"Superior Superior Room with two single  beds,City View "
9800,"HITEC City, Hyderabad",,2 swimming pools Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.4,Studio Apartment - 463 sqft
9000,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Good breakfast,8.0,King Room
7250,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Very good breakfast,7.9,Superior Double or Twin Room
8500,Hyderabad,,2 swimming pools Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.2,Deluxe Room City View Twin Bed
668,Hyderabad,,Free WiFi ,7.829464285714287,Classic Triple Room
12500,"HITEC City, Hyderabad",,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Facilities for disabled guests Bar Good breakfast,8.1,Executive Club
6500,Hyderabad,,Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Tea/coffee maker in all rooms Bar Good breakfast,7.7,Deluxe Double or Twin Room
5800,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.5,Superior King Room
1536,Hyderabad,,Room service 24-hour front desk ,3.6,Deluxe Triple Room
8500,Hyderabad,,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,7.7,King Room
2325,"HITEC City, Hyderabad",,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.2,Deluxe Double Room
6500,"Begumpet, Hyderabad",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Very good breakfast,8.4,Superior Double Room
1519,"Gachibowli, Hyderabad",,Room service Free WiFi 24-hour front desk ,7.829464285714287,Classic Triple Room
2153,Hyderabad,,Room service Free WiFi Facilities for disabled guests Superb breakfast,7.6,Deluxe Room
9500,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,8.6,Deluxe King Room
2228,Hyderabad,,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.0,Standard Double Room
1700,Hyderabad,,Airport shuttle Room service Free WiFi Free parking Non-smoking rooms Family rooms ,8.5,Deluxe Queen Room
6000,Hyderabad,,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Superb breakfast,8.3,Deluxe Twin Room
6299,Hyderabad,,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,8.0,Twin Room with Sofa Bed
5800,Hyderabad,,Indoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Very good breakfast,8.6,Studio Superior 
1290,"Gachibowli, Hyderabad",,Free WiFi Non-smoking rooms ,7.829464285714287,Deluxe Double Room
1705,Hyderabad,,Room service Free WiFi Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.1,Deluxe Room
1686,"HITEC City, Hyderabad",,Free WiFi Free parking Non-smoking rooms 24-hour front desk Exceptional breakfast,7.0,Standard Double Room
5841,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Fabulous breakfast,8.2,Superior Double Room
4750,Hyderabad,,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,7.7,"Superior Superior Room with two single  beds,City View "
9800,"HITEC City, Hyderabad",,2 swimming pools Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.4,Studio Apartment - 463 sqft
9000,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Good breakfast,8.0,King Room
7250,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Very good breakfast,7.9,Superior Double or Twin Room
8500,Hyderabad,,2 swimming pools Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.2,Deluxe Room City View Twin Bed
668,Hyderabad,,Free WiFi ,7.829464285714287,Classic Triple Room
12500,"HITEC City, Hyderabad",,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Facilities for disabled guests Bar Good breakfast,8.1,Executive Club
6500,Hyderabad,,Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Tea/coffee maker in all rooms Bar Good breakfast,7.7,Deluxe Double or Twin Room
5800,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.5,Superior King Room
2960,Hyderabad,,Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk ,9.1,Deluxe Room
1536,Hyderabad,,Room service 24-hour front desk ,3.6,Deluxe Triple Room
8500,Hyderabad,,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,7.7,King Room
2325,"HITEC City, Hyderabad",,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.2,Deluxe Double Room
13500,Hyderabad,,Free WiFi Free parking ,8.7,Three-Bedroom Apartment
2476,Hyderabad,,Room service Free WiFi Free parking Family rooms 24-hour front desk ,7.1,Superior Double Room
9500,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,8.6,Deluxe King Room
1700,Hyderabad,,Airport shuttle Room service Free WiFi Free parking Non-smoking rooms Family rooms ,8.5,Deluxe Queen Room
6000,Hyderabad,,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Superb breakfast,8.3,Deluxe Twin Room
6299,Hyderabad,,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,8.0,Twin Room with Sofa Bed
5800,Hyderabad,,Indoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Very good breakfast,8.6,Studio Superior 
1290,"Gachibowli, Hyderabad",,Free WiFi Non-smoking rooms ,7.829464285714287,Deluxe Double Room
1705,Hyderabad,,Room service Free WiFi Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.1,Deluxe Room
5841,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Fabulous breakfast,8.2,Superior Double Room
4750,Hyderabad,,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Bar Good breakfast,7.7,"Superior Superior Room with two single  beds,City View "
9800,"HITEC City, Hyderabad",,2 swimming pools Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.4,Studio Apartment - 463 sqft
9000,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Good breakfast,8.0,King Room
7250,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Tea/coffee maker in all rooms Very good breakfast,7.9,Superior Double or Twin Room
8500,Hyderabad,,2 swimming pools Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.2,Deluxe Room City View Twin Bed
668,Hyderabad,,Free WiFi ,7.829464285714287,Classic Triple Room
12500,"HITEC City, Hyderabad",,Outdoor swimming pool Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Facilities for disabled guests Bar Good breakfast,8.1,Executive Club
5800,Hyderabad,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.5,Superior King Room
2960,Hyderabad,,Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk ,9.1,Deluxe Room
1536,Hyderabad,,Room service 24-hour front desk ,3.6,Deluxe Triple Room
8500,Hyderabad,,Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Bar Very good breakfast,7.7,King Room
2325,"HITEC City, Hyderabad",,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.2,Deluxe Double Room
13500,Hyderabad,,Free WiFi Free parking ,8.7,Three-Bedroom Apartment
6500,"Begumpet, Hyderabad",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Free parking Bar Very good breakfast,8.4,Superior Double Room
1519,"Gachibowli, Hyderabad",,Room service Free WiFi 24-hour front desk ,7.829464285714287,Classic Triple Room
1275,Hyderabad,,Room service Free WiFi Free parking Non-smoking rooms Facilities for disabled guests 24-hour front desk ,8.8,Budget Double Room
